Year,"Agriculture, forestry and fishing-RenewableDirect",Mining and quarrying-RenewableDirect,Manufacturing-RenewableDirect,"Electricity, gas, steam and air conditioning supply-RenewableDirect","Water supply; sewerage, waste management and remediation activities-RenewableDirect",Construction-RenewableDirect,Wholesale and retail trade; repair of motor vehicles and motorcycles-RenewableDirect,Transport and storage-RenewableDirect,Accommodation and food services-RenewableDirect,Information and communication-RenewableDirect,Financial and insurance activities-RenewableDirect,Real estate activities-RenewableDirect,"Professional, scientific and technical activities-RenewableDirect",Administrative and support service activities-RenewableDirect,Public administration and defence; compulsory social security-RenewableDirect,Education-RenewableDirect,Human health and social work activities-RenewableDirect,"Arts, entertainment and recreation-RenewableDirect",Other service activities-RenewableDirect,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use-RenewableDirect,Consumer expenditure-RenewableDirect,"Agriculture, forestry and fishing-FossilDirect",Mining and quarrying-FossilDirect,Manufacturing-FossilDirect,"Electricity, gas, steam and air conditioning supply-FossilDirect","Water supply; sewerage, waste management and remediation activities-FossilDirect",Construction-FossilDirect,Wholesale and retail trade; repair of motor vehicles and motorcycles-FossilDirect,Transport and storage-FossilDirect,Accommodation and food services-FossilDirect,Information and communication-FossilDirect,Financial and insurance activities-FossilDirect,Real estate activities-FossilDirect,"Professional, scientific and technical activities-FossilDirect",Administrative and support service activities-FossilDirect,Public administration and defence; compulsory social security-FossilDirect,Education-FossilDirect,Human health and social work activities-FossilDirect,"Arts, entertainment and recreation-FossilDirect",Other service activities-FossilDirect,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use-FossilDirect,Consumer expenditure-FossilDirect,"Agriculture, forestry and fishing-GHG",Mining and quarrying-GHG,Manufacturing-GHG,"Electricity, gas, steam and air conditioning supply-GHG","Water supply; sewerage, waste management and remediation activities-GHG",Construction-GHG,Wholesale and retail trade; repair of motor vehicles and motorcycles-GHG,Transport and storage-GHG,Accommodation and food services-GHG,Information and communication-GHG,Financial and insurance activities-GHG,Real estate activities-GHG,"Professional, scientific and technical activities-GHG",Administrative and support service activities-GHG,Public administration and defence; compulsory social security-GHG,Education-GHG,Human health and social work activities-GHG,"Arts, entertainment and recreation-GHG",Other service activities-GHG,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use-GHG,Consumer expenditure-GHG,Oil-Proven,Oil-Probable,Oil-Possible,Gas-Proven,Gas-Probable,Gas-Possible
1990,0.008,0.004,0.539,0.325,0.149,0.007,0.029,0.008,0.007,0.007,0.014,0.001,0.005,0.003,0.009,0.009,0.009,0.004,0.001,0,0.363,2.4,6.4,43.7,56.2,0.6,3.1,4.5,22.2,1.3,0.5,0,0.3,0.9,0.9,4.1,2,1.8,0.8,0.5,0,53.7,55828.4,46672.7,180239.8,217165.3,69443,9061.4,12195.7,65657.1,2840.3,1408.9,75.1,637.1,2529.1,2387.4,11824.6,5299.3,4925.2,2206.6,1180.3,105.2,142012.1,,,,,,
1991,0.007,0.003,0.519,0.346,0.164,0.007,0.025,0.007,0.006,0.006,0.012,0.001,0.005,0.003,0.009,0.009,0.009,0.004,0.001,0,0.377,2.4,6.5,44.3,54.9,0.9,3.1,4.7,22.4,1.5,0.6,0,0.3,1,0.9,3.9,2.2,1.9,0.8,0.5,0,57.2,55590.4,47192.5,181128.2,213915,70924.4,9051.3,12589.6,66194.3,3308.8,1482.5,76.2,711.5,2755.6,2487.4,11082,5639.8,5294.8,2267.6,1293.8,105.9,150633.2,,,,,,
1992,0.008,0.004,0.531,0.449,0.163,0.01,0.03,0.008,0.007,0.008,0.014,0.001,0.006,0.003,0.012,0.012,0.012,0.004,0.001,0,0.403,2.5,6.6,43,52,1,3.1,4.6,22.8,1.4,0.6,0,0.3,1,0.9,3.9,2.3,2.1,0.7,0.5,0,56.7,55014.2,47718.5,174028,201934.3,71114.6,9172.2,12369.3,67266.5,3094.9,1461.7,70.5,686.2,2667,2490.9,11125.3,5803.8,5730.7,1917.5,1274.1,108.1,148792.7,,,,,,
1993,0.007,0.003,0.515,0.553,0.138,0.008,0.026,0.01,0.006,0.007,0.013,0.001,0.005,0.003,0.008,0.008,0.008,0.004,0.001,0,0.44,2.5,6.9,42.6,49.5,0.9,3.2,4.7,23.3,1.5,0.6,0,0.3,1,0.9,4,1.9,2,0.8,0.5,0,58.3,54083,47344.4,168649.5,184516.5,71307,9317.4,12615.9,68597.1,3289.4,1510.3,71.9,722.6,2565.2,2567.1,11246.9,4922.2,5483.5,2082.4,1341.2,110.2,153935,,,,,,
1994,0.008,0.003,0.85,0.731,0.169,0.009,0.031,0.011,0.007,0.008,0.015,0.001,0.006,0.003,0.01,0.01,0.01,0.004,0.001,0,0.487,2.5,7.8,42.9,49.3,0.9,3.4,4.8,23.6,1.5,0.6,0,0.3,1.1,1,3.8,1.8,2.1,0.7,0.5,0,56.4,55148.3,43067.3,171350.7,181128.3,71534.6,9761.9,12994.1,69514.9,3284.7,1567.2,62.5,740.5,2617.1,2668.2,10436.8,4429.1,5719.3,2033,1362.3,115.6,148950.2,,,,,,
1995,0.007,0.003,0.912,0.784,0.181,0.01,0.03,0.011,0.007,0.008,0.015,0.001,0.006,0.003,0.009,0.01,0.009,0.004,0.001,0,0.52,2.5,7.7,42.3,50.8,0.9,3.4,4.9,24.5,1.5,0.6,0,0.3,1.1,1,3.8,1.8,2.2,0.7,0.6,0,54.7,54954.8,44311.8,168632,179249.5,72353.8,9900.3,13244.5,72326.9,3410.3,1616,58.2,769.5,2703.8,2726,10331.5,4212.1,5838.5,1884.2,1410.9,119.1,143842.6,605,765,520,700,780,435
1996,0.006,0.003,0.894,0.803,0.176,0.007,0.023,0.008,0.005,0.006,0.011,0.001,0.004,0.003,0.007,0.007,0.007,0.003,0.001,0,0.593,2.6,8.6,43.3,51.5,1,3.5,5,26.4,1.6,0.6,0,0.3,1.1,1,3.8,2.2,2.4,0.8,0.6,0,61,55706.1,45600.8,170321.7,178914.4,72949.8,10219.1,13677,77970.6,3639.7,1613.2,56.2,798.2,2744.1,2791,10459.7,5261.6,6148.5,2027.7,1478.4,116.2,159336.8,665,690,670,760,660,540
1997,0.007,0.003,0.921,0.983,0.143,0.008,0.032,0.011,0.007,0.008,0.016,0.001,0.006,0.004,0.008,0.009,0.008,0.005,0.001,0,0.584,2.5,8.7,43,49.4,0.8,3.6,4.8,26.9,1.4,0.6,0,0.3,1,1,3.7,2.3,2.2,0.7,0.5,0,58.2,54844.2,44932.5,169923.3,163772.9,71728.2,10512.9,13695.9,79224.2,3280.1,1555.8,43,746,2563.9,2775.7,10041.2,5541.4,5752.8,1738,1397.6,117.4,153405.3,690,700,625,765,620,600
1998,0.008,0.003,0.842,1.255,0.143,0.01,0.038,0.012,0.008,0.011,0.017,0.001,0.007,0.004,0.009,0.01,0.01,0.005,0.002,0,0.645,2.5,9,41.6,51.3,1.6,3.7,4.9,28,1.5,0.6,0,0.3,1.1,1,3.6,2.2,2.2,0.7,0.6,0,59.1,54882.1,43752.2,160181.1,169059.8,72961.9,10798.8,14331.9,82450.1,3525,1580.6,38.6,786.7,2647.1,2825.2,9504.4,5230.2,5608.8,1863.8,1454.3,115.5,155834,685,575,540,755,585,455
1999,0.009,0.003,0.786,1.455,0.147,0.01,0.04,0.012,0.008,0.011,0.019,0.001,0.008,0.004,0.01,0.009,0.009,0.005,0.002,0,0.686,2.4,9.3,42.5,51.2,1,3.8,5,28.1,1.6,0.6,0,0.3,1.1,1,3.6,2.1,2.1,0.6,0.6,0,59.3,54840.3,40808.6,143638.2,161279.9,68438.5,11063.6,15086.9,82468.2,3751.7,1660,41.1,834.6,2792.7,2905.8,9507.1,4909.3,5354.2,1594.4,1515.8,119.2,156512.3,665,455,545,760,500,490
