Industry,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transport and storage,Accommodation and food services,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Consumer expenditure
1990,0.008,0.004,0.539,0.325,0.149,0.007,0.029,0.008,0.007,0.007,0.014,0.001,0.005,0.003,0.009,0.009,0.009,0.004,0.001,0,0.363
1991,0.007,0.003,0.519,0.346,0.164,0.007,0.025,0.007,0.006,0.006,0.012,0.001,0.005,0.003,0.009,0.009,0.009,0.004,0.001,0,0.377
1992,0.008,0.004,0.531,0.449,0.163,0.01,0.03,0.008,0.007,0.008,0.014,0.001,0.006,0.003,0.012,0.012,0.012,0.004,0.001,0,0.403
1993,0.007,0.003,0.515,0.553,0.138,0.008,0.026,0.01,0.006,0.007,0.013,0.001,0.005,0.003,0.008,0.008,0.008,0.004,0.001,0,0.44
1994,0.008,0.003,0.85,0.731,0.169,0.009,0.031,0.011,0.007,0.008,0.015,0.001,0.006,0.003,0.01,0.01,0.01,0.004,0.001,0,0.487
1995,0.007,0.003,0.912,0.784,0.181,0.01,0.03,0.011,0.007,0.008,0.015,0.001,0.006,0.003,0.009,0.01,0.009,0.004,0.001,0,0.52
1996,0.006,0.003,0.894,0.803,0.176,0.007,0.023,0.008,0.005,0.006,0.011,0.001,0.004,0.003,0.007,0.007,0.007,0.003,0.001,0,0.593
1997,0.007,0.003,0.921,0.983,0.143,0.008,0.032,0.011,0.007,0.008,0.016,0.001,0.006,0.004,0.008,0.009,0.008,0.005,0.001,0,0.584
1998,0.008,0.003,0.842,1.255,0.143,0.01,0.038,0.012,0.008,0.011,0.017,0.001,0.007,0.004,0.009,0.01,0.01,0.005,0.002,0,0.645
1999,0.009,0.003,0.786,1.455,0.147,0.01,0.04,0.012,0.008,0.011,0.019,0.001,0.008,0.004,0.01,0.009,0.009,0.005,0.002,0,0.686
2000,0.009,0.005,0.612,1.655,0.174,0.01,0.041,0.012,0.009,0.011,0.019,0.001,0.007,0.004,0.009,0.008,0.008,0.005,0.002,0,0.739
2001,0.007,0.004,0.54,1.89,0.183,0.01,0.035,0.01,0.007,0.01,0.015,0.001,0.006,0.003,0.008,0.007,0.007,0.003,0.001,0,0.796
2002,0.008,0.005,0.663,1.991,0.209,0.012,0.042,0.013,0.01,0.012,0.016,0.001,0.007,0.004,0.01,0.008,0.006,0.005,0.002,0,0.811
2003,0.007,0.005,0.74,2.196,0.23,0.012,0.034,0.016,0.007,0.009,0.011,0.001,0.005,0.003,0.008,0.005,0.005,0.004,0.001,0,0.862
2004,0.009,0.007,0.893,2.458,0.246,0.018,0.051,0.02,0.011,0.012,0.017,0.001,0.008,0.004,0.012,0.006,0.008,0.005,0.002,0,0.97
2005,0.01,0.009,0.682,3.142,0.256,0.022,0.061,0.027,0.013,0.015,0.021,0.001,0.011,0.006,0.013,0.006,0.01,0.006,0.003,0,1.093
2006,0.013,0.009,0.774,3.213,0.244,0.031,0.081,0.065,0.015,0.017,0.022,0.002,0.013,0.009,0.015,0.007,0.013,0.008,0.004,0,1.196
2007,0.016,0.01,0.765,3.276,0.273,0.047,0.11,0.113,0.018,0.021,0.026,0.003,0.017,0.014,0.018,0.009,0.015,0.01,0.005,0,1.325
2008,0.024,0.015,0.877,3.54,0.285,0.098,0.175,0.244,0.022,0.028,0.032,0.004,0.026,0.027,0.025,0.011,0.019,0.013,0.009,0,1.709
2009,0.028,0.019,1.04,3.796,0.284,0.116,0.22,0.265,0.026,0.033,0.039,0.004,0.031,0.03,0.027,0.011,0.021,0.016,0.01,0,2.01
2010,0.031,0.019,1.242,4.078,0.302,0.117,0.218,0.27,0.026,0.035,0.038,0.005,0.03,0.03,0.025,0.011,0.02,0.014,0.01,0,2.476
2011,0.042,0.023,1.497,4.354,0.37,0.132,0.268,0.256,0.039,0.048,0.067,0.006,0.041,0.032,0.032,0.016,0.029,0.019,0.011,0,2.495
2012,0.071,0.023,1.495,4.734,0.405,0.118,0.27,0.2,0.045,0.055,0.079,0.007,0.046,0.029,0.037,0.027,0.044,0.026,0.011,0,2.972
2013,0.109,0.027,1.772,5.39,0.474,0.145,0.352,0.242,0.061,0.076,0.096,0.01,0.06,0.035,0.038,0.03,0.051,0.031,0.016,0,3.596
2014,0.178,0.035,2.274,6.367,0.55,0.186,0.429,0.298,0.072,0.082,0.123,0.011,0.07,0.042,0.04,0.033,0.056,0.034,0.018,0,3.754
2015,0.288,0.046,2.728,7.869,0.666,0.219,0.514,0.255,0.096,0.11,0.154,0.013,0.09,0.044,0.033,0.027,0.05,0.035,0.022,0,4.251
2016,0.421,0.051,2.948,8.26,0.856,0.211,0.51,0.259,0.099,0.109,0.156,0.014,0.096,0.046,0.029,0.023,0.045,0.033,0.023,0,4.365
2017,0.482,0.066,3.602,8.501,1.035,0.293,0.632,0.275,0.126,0.138,0.2,0.017,0.122,0.054,0.029,0.028,0.045,0.038,0.029,0,4.79
