Reserve,Oil-Proven,Oil-Probable,Oil-Possible,Gas-Proven,Gas-Probable,Gas-Possible
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,605,765,520,700,780,435
1996,665,690,670,760,660,540
1997,690,700,625,765,620,600
1998,685,575,540,755,585,455
1999,665,455,545,760,500,490
2000,630,380,480,735,460,430
2001,605,350,475,655,445,395
2002,595,325,425,630,370,330
2003,571,286,410,590,315,336
2004,533,283,512,531,296,343
2005,516,300,451,481,247,278
2006,479,298,478,412,272,283
2007,452,328,399,343,304,293
2008,408,361,360,292,309,306
2009,378,390,343,256,308,276
2010,374,377,342,253,267,261
2011,413,374,319,246,246,216
2012,405,405,253,244,217,238
2013,404,342,338,241,211,198
2014,374,342,344,205,201,187
2015,349,217,161,207,126,113
2016,337,178,177,176,121,88
2017,333,174,93,181,98,66
