year,countryCount,std,p1,p10,p25,mean,p75,p90,p99,AFG,Africa,ALB,DZA,ASM,Americas,AND,AGO,AIA,ATG,ARG,ARM,ABW,Asia,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BES,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,OWID_CIS,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CUW,CYP,CZE,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,Europe,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,Latin America and the Caribbean,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NCL,NZL,NIC,NER,NGA,NIU,PRK,Northern America,MNP,NOR,Oceania,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROU,RUS,RWA,Saint Barthlemy,SHN,KNA,LCA,MAF,SPM,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SXM,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,VIR,URY,UZB,VUT,VAT,VEN,VNM,WLF,ESH,OWID_WRL,YEM,ZMB,ZWE
1951,243,11.732534743971334,23.236366755728444,35.48513302843452,42.61851415276909,50.52624257020577,58.43397098764245,65.56735211197702,77.8161183846831,27.878,36.712,54.399,42.282,63.901,59.46994456,62.639,35.599,55.132,56.419,61.751,62.178,58.962,41.447,68.991,66.149,57.682,62.687,41.582,39.44,53.205,58.537,67.19,55.086,32.956,64.557,31.819,39.248,59.513,52.012,43.964,50.245,57.141,51.087,60.88,30.224,38.574,39.999,37.965,68.638,47.302,56.227,32.008,35.675,68.714,54.091,43.264,50.472,38.247,39.281,46.0,55.267,29.175,60.511,58.519,59.283,66.066,65.737,38.531,70.629,40.531,54.398,44.816,47.716,39.176,43.586,33.439,33.466,59.794,33.468,62.441,67.596,68.586,53.874,65.71,66.506,52.516,46.522,35.989,29.826,60.048,67.059,41.388,69.1,65.473,51.023,57.774,52.087,56.378,42.152,32.673,35.204,58.518,36.362,41.065,62.38,62.982,71.826,36.103,40.731,39.715,35.658,65.983,68.786,68.48,65.821,57.952,61.583,45.198,54.402,41.971,42.964,52.398,52.142,40.487,50.509,60.419,59.814,44.208,32.288,36.98,66.743,58.511,65.531,60.182,53.527,35.591,34.566,53.732,34.173,26.563,64.594,54.433,54.515,38.679,48.595,45.375,49.11,50.68,58.375,62.692,42.639,59.289,56.419,45.188,34.066,34.658,39.554,44.096,34.571,71.55,49.508,69.427,41.385,34.43,33.288,57.477,31.963,68.342,53.771,72.471,58.094,34.663,35.697,57.093,46.253,56.002,32.932,62.676,43.59,55.305,59.761,59.724,61.649,54.043,45.978,61.031,56.125,39.684,51.982,57.722,51.412,49.213,52.089,59.913,52.185,53.919,63.082,46.124,41.214,34.76,58.406,61.572,28.15,58.874,59.534,62.828,64.776,40.699,33.383,43.926,37.343,27.033,63.488,53.039,43.708,55.023,39.648,71.475,68.848,46.727,56.27,47.713,40.316,50.125,29.208,34.273,57.905,56.348,57.097,38.403,40.364,50.639,54.113,44.852,39.307,59.802,42.357,68.903,68.338,61.888,65.868,55.509,44.22,50.288,54.574,52.262,51.378,34.946,46.069,29.132,42.537,49.04
1952,243,11.734783092475164,23.857775681758746,36.108889230302815,43.24363735052771,51.152881154855976,59.06212495918424,66.19687307940913,78.44798662795321,28.361,37.234,54.875,42.677,64.159,59.85612063,63.588,35.758,55.714,57.056,62.343,62.602,60.01,42.076,69.275,66.392,58.209,62.974,42.458,40.198,54.891,60.078,67.632,55.644,33.467,65.179,32.118,39.499,60.462,53.164,44.595,50.622,58.104,50.831,61.855,30.707,38.877,40.243,38.331,68.922,47.504,56.794,32.499,35.926,69.09,54.413,43.772,51.418,38.551,40.057,47.758,55.729,29.806,61.024,59.107,60.255,66.518,66.557,38.899,70.943,40.853,54.958,45.607,48.299,40.562,44.271,33.787,33.828,61.22,33.833,63.317,68.168,68.983,55.017,66.204,67.037,53.048,48.281,36.594,30.123,60.449,67.378,41.917,69.477,65.619,51.465,58.314,52.94,56.878,42.667,32.946,35.462,58.73,37.149,41.519,62.878,63.698,72.125,36.687,41.423,40.297,37.217,66.628,69.183,68.748,66.312,59.106,62.427,46.064,54.86,42.333,43.407,53.168,52.598,40.781,51.113,61.831,60.261,44.767,32.517,36.538,67.29,60.166,65.821,60.716,54.477,36.076,34.741,54.572,34.309,26.856,65.486,54.514,55.229,39.262,49.636,46.677,50.204,51.092,58.827,63.654,42.918,59.555,57.371,45.498,34.688,35.886,40.314,44.839,34.509,71.819,50.343,69.668,41.998,34.465,33.618,58.463,36.177,68.606,54.262,72.725,58.801,35.6,36.892,57.181,46.455,56.538,33.7,62.679,43.893,56.13,60.956,60.118,63.034,54.863,47.282,60.962,57.828,39.985,52.828,58.693,52.242,50.019,52.936,60.925,53.06,54.298,64.046,46.507,41.699,35.253,58.873,61.796,28.588,59.818,60.477,63.968,65.359,41.527,33.789,44.555,40.703,27.65,64.255,54.102,44.277,55.694,40.131,71.749,69.198,47.308,57.634,48.035,40.805,50.566,29.714,34.963,58.909,56.758,57.747,38.643,40.759,51.072,54.837,45.326,39.853,61.246,43.356,69.271,68.601,62.614,66.007,55.88,44.774,50.773,55.173,53.111,51.948,35.331,46.712,29.201,43.001,49.46
1953,243,11.743695401704421,24.44226860555321,36.70268660493262,43.84285340916892,51.758104109917696,59.673354810666474,66.81352161490277,79.07393961428218,28.852,37.754,55.468,43.081,64.425,60.23429871,64.483,35.93,56.298,57.689,62.877,63.024,60.98,42.634,69.537,66.655,58.696,63.247,43.406,40.928,56.469,61.495,68.041,56.197,33.97,65.773,32.414,39.758,61.346,54.26,45.213,51.014,58.985,50.754,62.813,31.184,39.179,40.453,38.713,69.197,47.68,57.349,32.984,36.181,69.425,54.741,44.123,52.315,38.87,40.82,49.336,56.221,30.476,61.526,59.695,61.157,66.956,67.296,39.244,71.222,41.194,55.521,46.389,48.884,41.844,44.964,34.134,34.244,62.53,34.249,64.14,68.688,69.334,56.064,66.657,67.538,53.583,49.863,37.139,30.403,60.85,67.686,42.438,69.812,65.812,52.003,58.844,53.769,57.381,43.178,33.212,35.717,58.936,37.887,42.006,63.395,64.376,72.393,37.272,42.107,40.88,38.727,67.215,69.535,69.007,66.771,60.156,63.234,46.92,55.313,42.742,43.852,53.94,53.054,41.078,51.707,63.134,60.693,45.289,32.739,36.38,67.796,61.689,66.121,61.247,55.386,36.561,34.933,55.377,34.5,27.117,66.285,54.601,55.927,39.859,50.711,47.923,51.248,51.507,59.265,64.563,43.296,59.886,58.243,45.821,35.309,37.013,41.078,45.52,34.49,72.069,51.16,69.894,42.614,34.51,33.97,59.355,39.835,68.851,54.754,72.94,59.459,36.525,38.055,57.276,46.692,57.076,34.439,62.718,44.248,56.911,62.06,60.517,64.26,55.672,48.531,61.066,59.402,40.294,53.654,59.583,53.045,50.834,53.764,61.851,53.914,54.665,64.956,46.915,42.185,35.724,59.349,62.014,29.008,60.712,61.357,65.025,65.907,42.354,34.192,45.149,43.703,28.241,64.983,55.068,44.828,56.326,40.603,72.002,69.524,47.889,58.871,48.358,41.261,51.028,30.219,35.647,59.824,57.162,58.378,38.922,41.196,51.503,55.553,45.799,40.401,62.575,44.361,69.599,68.842,63.276,66.169,56.251,45.32,51.261,55.769,53.932,52.517,35.715,47.295,29.268,43.467,49.886
1954,243,11.75379455186652,25.00257427244077,37.27353578458941,44.41984287212426,52.341900400082295,60.26395792804033,67.41026501557518,79.68122652772382,29.35,38.27,56.18,43.494,64.701,60.60279722,65.324,36.115,56.886,58.319,63.354,63.445,61.873,43.122,69.778,66.94,59.141,63.506,44.426,41.63,57.937,62.789,68.417,56.745,34.464,66.337,32.708,40.026,62.165,55.298,45.82,51.42,59.784,50.856,63.756,31.658,39.479,40.63,39.111,69.463,47.828,57.893,33.464,36.439,69.72,55.074,44.315,53.163,39.202,41.568,50.734,56.742,31.185,62.018,60.282,61.987,67.378,67.954,39.568,71.466,41.555,56.088,47.162,49.471,43.022,45.667,34.481,34.713,63.722,34.718,64.91,69.156,69.639,57.016,67.07,68.009,54.121,51.267,37.625,30.665,61.25,67.981,42.952,70.105,66.052,52.637,59.362,54.572,57.887,43.686,33.474,35.969,59.137,38.575,42.528,63.929,65.017,72.631,37.859,42.783,41.463,40.188,67.744,69.842,69.255,67.197,61.102,64.005,47.767,55.764,43.198,44.298,54.712,53.508,41.376,52.291,64.329,61.108,45.774,32.955,36.506,68.263,63.079,66.432,61.775,56.252,37.047,35.143,56.144,34.746,27.344,66.992,54.694,56.611,40.471,51.82,49.111,52.241,51.925,59.688,65.417,43.772,60.281,59.035,46.158,35.932,38.037,41.846,46.139,34.512,72.3,51.959,70.103,43.232,34.565,34.346,60.152,42.937,69.077,55.245,73.118,60.068,37.439,39.187,57.376,46.965,57.617,35.149,62.794,44.657,57.647,63.074,60.92,65.328,56.472,49.722,61.342,60.846,40.61,54.46,60.392,53.82,51.657,54.571,62.692,54.749,55.019,65.813,47.348,42.673,36.173,59.835,62.224,29.411,61.557,62.172,65.998,66.421,43.181,34.594,45.709,46.343,28.805,65.67,55.937,45.361,56.917,41.063,72.234,69.826,48.469,59.983,48.681,41.683,51.509,30.723,36.327,60.651,57.561,58.992,39.24,41.675,51.932,56.261,46.272,40.952,63.789,45.373,69.887,69.063,63.874,66.353,56.62,45.858,51.752,56.363,54.726,53.086,36.097,47.82,29.333,43.936,50.317
1955,243,11.760719836923364,25.548848112526127,37.82703962227412,44.977557283123524,52.90428245320987,60.83100762329622,67.98152528414563,80.25971679389362,29.854,38.783,57.007,43.916,64.985,60.95963613,66.111,36.315,57.476,58.946,63.773,63.865,62.687,43.543,69.998,67.244,59.546,63.75,45.517,42.304,59.296,63.96,68.759,57.289,34.949,66.871,33.0,40.303,62.917,56.278,46.414,51.841,60.501,51.137,64.682,32.127,39.778,40.776,39.525,69.721,47.952,58.426,33.938,36.699,69.974,55.413,44.356,53.963,39.548,42.302,51.954,57.293,31.932,62.499,60.87,62.748,67.786,68.531,39.869,71.675,41.934,56.657,47.926,50.059,44.095,46.377,34.826,35.234,64.797,35.238,65.625,69.572,69.9,57.872,67.442,68.45,54.665,52.495,38.053,30.912,61.649,68.265,43.458,70.357,66.339,53.366,59.871,55.351,58.397,44.191,33.73,36.219,59.333,39.214,43.083,64.48,65.619,72.837,38.448,43.452,42.047,41.599,68.214,70.104,69.493,67.59,61.945,64.739,48.603,56.211,43.7,44.747,55.486,53.961,41.677,52.866,65.414,61.507,46.221,33.164,36.914,68.69,64.336,66.753,62.299,57.076,37.533,35.369,56.875,35.049,27.54,67.606,54.792,57.28,41.097,52.962,50.241,53.184,52.348,60.098,66.218,44.346,60.741,59.747,46.509,36.554,38.961,42.618,46.695,34.576,72.511,52.74,70.297,43.853,34.629,34.743,60.854,45.488,69.282,55.737,73.258,60.629,38.342,40.287,57.482,47.272,58.161,35.832,62.906,45.117,58.339,63.996,61.328,66.239,57.261,50.857,61.787,62.161,40.934,55.246,61.119,54.568,52.489,55.359,63.448,55.563,55.361,66.616,47.807,43.162,36.6,60.329,62.428,29.798,62.352,62.923,66.887,66.9,44.007,34.994,46.234,48.624,29.344,66.318,56.709,45.875,57.469,41.511,72.446,70.103,49.05,60.969,49.004,42.073,52.009,31.226,37.001,61.389,57.954,59.587,39.597,42.195,52.357,56.961,46.745,41.507,64.888,46.391,70.135,69.263,64.409,66.559,56.989,46.389,52.245,56.954,55.494,53.653,36.478,48.286,29.397,44.407,50.754
1956,243,11.761167008958482,26.08904404588684,38.36770240323949,45.518491944686254,53.44551850872427,61.372545072762286,68.52333461420905,80.8019929715617,30.365,39.293,57.941,44.347,65.27,61.30299762,66.844,36.528,58.069,59.568,64.135,64.285,63.424,43.906,70.196,67.567,59.912,63.98,46.678,42.955,60.545,65.008,69.068,57.829,35.426,67.374,33.291,40.588,63.605,57.202,46.995,52.276,61.139,51.591,65.587,32.591,40.077,40.894,39.955,69.969,48.054,58.947,34.406,36.962,70.19,55.758,44.268,54.714,39.907,43.021,53.0,57.872,32.715,62.97,61.457,63.439,68.18,69.027,40.149,71.851,42.331,57.23,48.68,50.648,45.067,47.095,35.17,35.806,65.756,35.807,66.286,69.937,70.116,58.634,67.773,68.86,55.217,53.55,38.429,31.144,62.048,68.537,43.956,70.569,66.668,54.183,60.368,56.106,58.909,44.693,33.979,36.467,59.525,39.806,43.671,65.048,66.182,73.012,39.038,44.112,42.631,42.963,68.627,70.323,69.721,67.951,62.687,65.437,49.43,56.656,44.247,45.197,56.26,54.413,41.979,53.43,66.391,61.89,46.632,33.369,37.597,69.077,65.463,67.082,62.819,57.859,38.02,35.611,57.569,35.406,27.705,68.131,54.896,57.934,41.737,54.132,51.316,54.075,52.774,60.495,66.963,45.014,61.263,60.381,46.874,37.171,39.789,43.394,47.191,34.684,72.703,53.504,70.474,44.477,34.702,35.162,61.463,47.505,69.467,56.228,73.361,61.14,39.232,41.355,57.594,47.615,58.706,36.489,63.052,45.627,58.986,64.83,61.741,66.996,58.041,51.936,62.388,63.346,41.265,56.013,61.767,55.288,53.329,56.126,64.121,56.357,55.69,67.365,48.288,43.653,37.001,60.833,62.627,30.169,63.095,63.61,67.691,67.343,44.833,35.392,46.726,50.552,29.856,66.925,57.389,46.371,57.982,41.946,72.638,70.357,49.631,61.831,49.328,42.43,52.528,31.728,37.67,62.042,58.344,60.163,39.994,42.757,52.781,57.653,47.217,42.065,65.874,47.414,70.345,69.441,64.883,66.785,57.357,46.913,52.74,57.541,56.238,54.22,36.858,48.702,29.463,44.878,51.197
1957,243,11.752786676514287,26.628980194789914,38.89888948507083,46.04458378439152,53.96596200436215,61.887340224332775,69.03303452365347,81.30294381393438,30.882,39.799,58.969,44.786,65.55,61.63176706,67.522,36.755,58.664,60.185,64.441,64.704,64.086,44.224,70.37,67.904,60.239,64.195,47.903,43.582,61.686,65.936,69.343,58.366,35.895,67.846,33.583,40.883,64.229,58.069,47.563,52.725,61.701,52.208,66.467,33.053,40.375,40.988,40.398,70.208,48.141,59.458,34.87,37.226,70.369,56.109,44.082,55.417,40.278,43.725,53.878,58.476,33.532,63.429,62.046,64.062,68.559,69.441,40.409,71.996,42.744,57.805,49.426,51.237,45.94,47.817,35.513,36.422,66.601,36.421,66.893,70.255,70.291,59.304,68.065,69.239,55.783,54.439,38.762,31.366,62.447,68.797,44.445,70.744,67.036,55.078,60.854,56.837,59.423,45.192,34.221,36.714,59.713,40.352,44.289,65.629,66.706,73.157,39.63,44.764,43.215,44.281,68.984,70.501,69.94,68.28,63.331,66.099,50.248,57.098,44.834,45.652,57.035,54.865,42.284,53.983,67.258,62.257,47.006,33.573,38.54,69.425,66.461,67.417,63.334,58.603,38.506,35.867,58.226,35.816,27.844,68.568,55.006,58.574,42.392,55.321,52.335,54.913,53.204,60.88,67.654,45.769,61.842,60.941,47.252,37.78,40.528,44.171,47.63,34.836,72.875,54.25,70.634,45.103,34.783,35.6,61.981,49.021,69.632,56.72,73.431,61.603,40.111,42.391,57.712,47.995,59.252,37.121,63.229,46.181,59.588,65.576,62.157,67.608,58.812,52.96,63.128,64.401,41.601,56.761,62.34,55.981,54.175,56.873,64.716,57.127,56.008,68.059,48.791,44.145,37.373,61.346,62.82,30.527,63.784,64.235,68.408,67.748,45.659,35.789,47.186,52.142,30.345,67.492,57.981,46.85,58.457,42.37,72.81,70.589,50.212,62.574,49.652,42.757,53.062,32.229,38.334,62.613,58.729,60.718,40.432,43.358,53.204,58.335,47.689,42.628,66.747,48.443,70.517,69.598,65.297,67.028,57.725,47.431,53.237,58.125,56.96,54.786,37.237,49.074,29.536,45.347,51.645
1958,243,11.734119219011253,27.17284022843168,39.42326069307943,46.557605178238276,54.46640153185186,62.37519788546544,69.50954237062429,81.75996283527203,31.403,40.299,60.065,45.232,65.813,61.94457224,68.145,36.996,59.26,60.793,64.694,65.124,64.676,44.522,70.521,68.249,60.532,64.394,49.185,44.19,62.72,66.748,69.586,58.901,36.357,68.283,33.882,41.186,64.791,58.882,48.118,53.187,62.194,52.971,67.312,33.512,40.674,41.067,40.853,70.438,48.224,59.956,35.33,37.492,70.515,56.469,43.858,56.076,40.66,44.411,54.603,59.101,34.375,63.877,62.636,64.621,68.924,69.776,40.651,72.111,43.17,58.382,50.162,51.824,46.72,48.539,35.855,37.073,67.336,37.071,67.444,70.531,70.43,59.885,68.319,69.586,56.372,55.176,39.065,31.584,62.846,69.044,44.924,70.885,67.432,56.031,61.327,57.547,59.939,45.692,34.456,36.963,59.897,40.856,44.934,66.22,67.189,73.273,40.225,45.407,43.796,45.559,69.288,70.641,70.148,68.582,63.885,66.727,51.057,57.538,45.456,46.112,57.808,55.317,42.59,54.525,68.017,62.609,47.344,33.783,39.719,69.734,67.335,67.754,63.842,59.31,38.993,36.133,58.848,36.279,27.964,68.925,55.121,59.199,43.06,56.512,53.301,55.696,53.637,61.256,68.289,46.598,62.47,61.433,47.643,38.372,41.191,44.948,48.016,35.034,73.027,54.978,70.776,45.732,34.871,36.053,62.415,50.091,69.776,57.211,73.472,62.02,40.978,43.394,57.837,48.41,59.796,37.734,63.432,46.773,60.142,66.238,62.575,68.087,59.577,53.932,63.972,65.327,41.941,57.489,62.845,56.647,55.028,57.601,65.239,57.871,56.314,68.699,49.311,44.64,37.709,61.867,63.01,30.875,64.415,64.8,69.035,68.112,46.483,36.184,47.617,53.418,30.812,68.02,58.496,47.312,58.897,42.783,72.965,70.8,50.795,63.206,49.975,43.057,53.607,32.729,38.994,63.11,59.113,61.25,40.913,43.996,53.625,59.008,48.161,43.196,67.511,49.475,70.658,69.734,65.658,67.282,58.093,47.945,53.733,58.702,57.662,55.35,37.615,49.418,29.625,45.81,52.098
1959,243,11.704005189864617,27.72459388047367,39.94357529869233,47.059610454130016,54.94810995209877,62.83660945006752,69.95264460550521,82.17162602372386,31.925,40.793,61.186,45.684,66.033,62.23971836,68.713,37.253,59.856,61.389,64.896,65.546,65.199,44.842,70.644,68.592,60.795,64.576,50.513,44.787,63.648,67.451,69.796,59.439,36.815,68.683,34.193,41.498,65.296,59.642,48.657,53.66,62.63,53.85,68.104,33.971,40.976,41.146,41.317,70.657,48.323,60.444,35.789,37.757,70.636,56.838,43.7,56.692,41.051,45.077,55.196,59.739,35.233,64.314,63.232,65.12,69.277,70.032,40.879,72.202,43.604,58.96,50.887,52.407,47.416,49.253,36.196,37.745,67.965,37.742,67.939,70.773,70.537,60.385,68.536,69.9,57.0,55.782,39.365,31.809,63.248,69.277,45.391,70.999,67.842,57.011,61.787,58.238,60.456,46.194,34.679,37.216,60.079,41.323,45.598,66.813,67.63,73.363,40.822,46.041,44.374,46.803,69.545,70.751,70.347,68.859,64.36,67.322,51.858,57.978,46.102,46.58,58.578,55.77,42.897,55.053,68.669,62.945,47.648,34.009,41.092,70.006,68.094,68.086,64.341,59.985,39.478,36.404,59.436,36.789,28.077,69.213,55.242,59.812,43.74,57.678,54.218,56.418,54.074,61.626,68.868,47.481,63.135,61.87,48.045,38.93,41.8,45.72,48.358,35.282,73.158,55.689,70.899,46.363,34.962,36.514,62.771,50.811,69.9,57.703,73.49,62.393,41.832,44.364,57.967,48.864,60.335,38.336,63.653,47.388,60.649,66.824,62.994,68.455,60.336,54.854,64.861,66.123,42.281,58.198,63.293,57.288,55.883,58.31,65.703,58.584,56.612,69.282,49.843,45.137,37.996,62.395,63.2,31.219,64.981,65.308,69.566,68.429,47.304,36.58,48.022,54.417,31.261,68.509,58.952,47.759,59.303,43.183,73.104,70.995,51.38,63.739,50.295,43.336,54.156,33.229,39.648,63.546,59.497,61.753,41.441,44.668,54.047,59.671,48.633,43.773,68.171,50.508,70.773,69.848,65.974,67.538,58.463,48.459,54.226,59.272,58.354,55.915,37.992,49.762,29.747,46.26,52.556
1960,243,11.661300616259581,28.288419160037,40.462817003412006,47.55288777809783,55.41260439345679,63.272321008815744,70.36239178350158,82.53678962687658,32.446,41.277,62.283,46.141,66.187,62.51586761,69.223,37.524,60.451,61.968,65.055,65.972,65.662,45.235,70.738,68.919,61.034,64.74,51.869,45.379,64.472,68.053,69.973,59.981,37.271,69.041,34.526,41.82,65.749,60.353,49.179,54.143,63.023,54.81,68.824,34.432,41.281,41.242,41.785,70.866,48.461,60.919,36.249,38.02,70.739,57.219,43.725,57.269,41.447,45.721,55.685,60.381,36.095,64.737,63.834,65.568,69.618,70.211,41.098,72.276,44.038,59.537,51.602,52.982,48.042,49.95,36.535,38.419,68.497,38.419,68.375,70.99,70.624,60.811,68.72,70.181,57.686,56.282,39.694,32.054,63.651,69.497,45.843,71.095,68.248,57.979,62.231,58.913,60.97,46.702,34.89,37.478,60.26,41.762,46.274,67.399,68.025,73.427,41.422,46.664,44.947,48.022,69.76,70.837,70.537,69.117,64.77,67.887,52.651,58.419,46.76,47.061,59.343,56.224,43.204,55.566,69.213,63.267,47.919,34.264,42.609,70.241,68.746,68.404,64.828,60.633,39.962,36.672,59.991,37.343,28.199,69.443,55.369,60.413,44.432,58.787,55.09,57.077,54.513,61.995,69.391,48.392,63.82,62.264,48.458,39.439,42.381,46.483,48.668,35.583,73.268,56.382,71.0,46.998,35.053,36.976,63.061,51.297,70.003,58.194,73.496,62.723,42.672,45.299,58.103,49.356,60.864,38.935,63.881,48.012,61.105,67.34,63.412,68.739,61.094,55.731,65.726,66.791,42.616,58.889,63.699,57.902,56.739,59.0,66.122,59.26,56.902,69.809,50.378,45.638,38.223,62.928,63.395,31.566,65.475,65.763,69.995,68.695,48.123,36.976,48.406,55.189,31.697,68.958,59.369,48.194,59.682,43.572,73.231,71.176,51.971,64.19,50.613,43.6,54.701,33.729,40.297,63.934,59.885,62.222,42.021,45.369,54.471,60.32,49.106,44.359,68.733,51.537,70.87,69.94,66.255,67.783,58.835,48.975,54.713,59.831,59.039,56.479,38.368,50.137,29.919,46.687,53.019
